Major,Most_Used_Social_Media,Age,Creativity_Score,Creativity_Percentile,Year,Semester,Section,BirthMonth,Biosex,Height_in_Inches,Number_of_Languages_Spoken,Extroversion,Agreeableness,Openness,Conscientiousness,Neuroticism,How_Many_Siblings,Birth_Order,Oldest_Child
Psychology,Facebook,37,82.63,75.12,6,FAL,D,July,M,"5""11",1,96,69,71,75,40,4,5,0
General Studies,TikTok,18,74.41,24.51,1,FAL,D,November,M,71,1,48,71,40,50,54,3,3,0
Psychology,Facebook,21,91.08,98.43,1,FAL,D,July,F,67,1,67,65,73,56,67,5,3,0
Psychology,Discord,21,85.7,88.85,3,FAL,D,March,M,72,1,42,67,81,58,65,3,1,1
Psychology,Instagram,21,82.98,,2,FAL,D,November,M,"5'11""",2,52,60,81,56,35,4,2,0
Business Analytics,NA,22,73.6,20.39,2,FAL,D,December,F,"66""",1,33,69,65,62.5,62.5,4,1,1
"Fisheries, Range and Wildlife Management",Facebook,23,78.26,48.73,4,FAL,D,April,M,"5'11""",2,48,60,54,50,58,6,5,0
Dance,Instagram,18,85.07,,1,FAL,D,January,F,63,1,35,83,83,48,71,5,5,0
Statistics,X,24,74.75,26.31,2,FAL,D,December,M,64,1,37.5,46,52,35,65,9,8,0
"Fisheries, Range and Wildlife Management",YouTube,19,82.01,72.05,2,FAL,D,July,M,75,1,19,58,81,52,62.5,2,1,1
"Fisheries, Range and Wildlife Management",NA,22,77.7,44.68,3,FAL,D,March,M,71,3,19,81,67,67,0,5,1,1
Psychology,Instagram,20,82.01,72.08,2,FAL,D,August,M,74,1,27,35,52,40,50,3,4,0
Psychology,Instagram,23,77.31,42.21,2,FAL,D,December,M,67,1,46,73,81,48,27,3,4,0
Psychology,Instagram,19,81.03,66.73,1,FAL,D,September,F,67,1,62.5,71,48,62.5,60,1,1,1
"Fisheries, Range and Wildlife Management",YouTube,18,90.44,97.82,1,FAL,D,May,M,64,1,17,65,75,65,77,4,4,0
Psychology,TikTok,21,77.02,59.61,3,FAL,D,October,F,"5'1""",1,52,90,77,56,69,3,1,1
Business Analytics,Instagram,24,76.41,36.11,2,FAL,D,July,M,70,3,50,79,62.5,65,27,1,2,0
Social Work,YouTube,22,80.94,66.26,,FAL,D,February,F,66,2,48,98,87.5,85,19,2,2,0
Computer Science,Instagram,27,79.09,34.02,2,FAL,D,August,M,5'4,5,56,60,58,60,52,3,3,0
Health Psychology,YouTube,23,80.21,61.25,2,FAL,D,December,F,"5'1""",1,25,75,85,21,95,3,1,1
Health Psychology,Instagram,22,69.88,8.66,2,FAL,D,April,M,"5'10""",2,77,71,60,58,40,4,5,0
"Fisheries, Range and Wildlife Management",YouTube,31,67.24,5.19,2,FAL,D,January,M,71,2,12.5,73,69,44,65,11,9,0
